quantile,rank,feature,coef,abs_coef
0.9,36,PriceVolatility_180_buy,0.0118102666,0.0118102666
0.9,37,PctlV_55_180_sell,0.0113804309,0.0113804309
0.9,38,PriceVolatility_1_buy,-0.0109641682,0.0109641682
0.9,39,PctlV_55_full_buy,0.0109286308,0.0109286308
0.9,40,SumV_1_buy,0.0107812896,0.0107812896
0.9,41,PctlV_75_5_sell,-0.0107632126,0.0107632126
0.9,42,DeltaP_15_sell,0.0106717811,0.0106717811
0.9,43,TradeCount_1_buy,-0.00958897818,0.00958897818
0.9,44,PctlV_55_1_sell,0.00939919489,0.00939919489
0.9,45,MedianV_15_buy,-0.00929152305,0.00929152305
0.9,46,PctlV_10_60_sell,0.00926600715,0.00926600715
0.9,47,PctlV_25_full_sell,0.00907984519,0.00907984519
0.9,48,PriceVolatility_1_sell,0.0090701377,0.0090701377
0.9,49,DeltaP_180_sell,0.00902817671,0.00902817671
0.9,50,PriceVolatility_60_sell,-0.00860645849,0.00860645849
0.9,51,VolumeVolatility_1_sell,0.00847633577,0.00847633577
0.9,52,PctlV_10_1_buy,-0.00844205365,0.00844205365
0.9,53,PctlV_55_1_buy,0.00702210812,0.00702210812
0.9,54,PctlV_10_1_sell,-0.00684419295,0.00684419295
0.9,55,PriceVolatility_full_buy,0.00678039438,0.00678039438
0.9,56,DeltaP_1_sell,-0.00668907798,0.00668907798
0.9,57,MinV_full_buy,0.00660418336,0.00660418336
0.9,58,MaxV_60_buy,-0.00643921805,0.00643921805
0.9,59,DeltaV_1_sell,0.00625815931,0.00625815931
0.9,60,PctlV_75_15_sell,0.00614742878,0.00614742878
0.9,61,SumV_1_sell,-0.00582786512,0.00582786512
0.9,62,MedianV_full_sell,0.00559397497,0.00559397497
0.9,63,PctlV_90_60_sell,-0.00550699754,0.00550699754
0.9,64,PctlV_90_15_buy,0.00535636991,0.00535636991
0.9,65,SumV_60_buy,0.00520282969,0.00520282969
0.9,66,PctlV_75_full_sell,-0.00512979283,0.00512979283
